titles,tokens,entities,mentions,relations_total,relations_normal,relations_typing,isolated_entities,isolated_entities_typing,stage_0,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,total_runtime
Title: MEL: Metadata Extractor & Loader (by l),1165.0,130.0,243.0,212.0,124.0,88.0,71.0,37.0,1.4662742614746095e-06,6.336493798096975,8.346877773602804,3.2070045709609984,11.059270624319712,4.7775050083796184,0.0016672134399414063,33.72882045507431
Title: Modeling Actuations in BCI-O: A Context-based Integration of SOSA and IoT-O (by l),3161.0,322.0,747.0,700.0,383.0,317.0,168.0,73.0,2.586841583251953e-06,18.745993423461915,34.31404430468877,9.636090143521626,39.28166102170944,13.182274107138316,0.006507567564646403,115.1665731549263
Title: Building An Open Source Linux Computing System On RISC-V (by l),3062.0,441.0,753.0,789.0,366.0,423.0,225.0,105.0,5.125999450683594e-06,20.359018397331237,34.132763946056365,11.706237196922302,25.239792116483052,13.067368253072102,0.006660834948221842,104.51184587081273
Title: TNNT: The Named Entity Recognition Toolkit (by l),1486.0,183.0,339.0,404.0,210.0,194.0,104.0,43.0,3.719329833984375e-06,8.15186360279719,12.254302497704824,5.005015623569489,25.311428185304006,7.293719184398651,0.001955115795135498,58.01828792889913
Title: A Pipeline For Analysing Grant Applications (by l),5183.0,583.0,1329.0,1207.0,436.0,771.0,311.0,118.0,3.703435262044271e-06,29.719658915201823,63.921386098861696,16.31219113667806,36.546232942740126,16.659788421789806,0.0058666586875915526,163.16512787739435
Title: Active knowledge graph completion (by l),10529.0,1774.0,2789.0,4854.0,769.0,4085.0,1095.0,312.0,6.977717081705729e-06,64.93124482234319,156.80517031351727,35.83740953207016,33.30668852329254,30.323333549499512,0.016726207733154298,321.2205799261729
Title: An Analysis of Links in Wikidata (by l),7308.0,1110.0,1662.0,3319.0,528.0,2791.0,696.0,176.0,1.728534698486328e-05,39.567852135499315,89.72663297653199,20.401070455710094,30.7638147354126,20.86346275806427,0.007862297693888347,201.33071264425914
Title: BCI Ontology: A Context-based Sense and Actuation Model for Brain-Computer Interactions (by l),5103.0,1013.0,1396.0,2376.0,542.0,1834.0,578.0,166.0,2.611875534057617e-05,34.56357175509135,71.40744102398554,17.36985063155492,38.02479778528213,23.919947334130605,0.007154162724812826,185.2927888115247
Title: HDGI: A Human Device Gesture Interaction Ontology for the Internet of Things (by l),5719.0,950.0,1420.0,2551.0,518.0,2033.0,521.0,143.0,1.714626948038737e-05,32.320637146631874,63.89431248903274,17.78165691693624,33.25917321046193,20.364066696166994,0.006908114751180013,167.62677172025045
Title: Learning SHACL shapes from knowledge graphs (by l),12113.0,1833.0,2899.0,4716.0,922.0,3794.0,1102.0,313.0,1.932382583618164e-05,69.64207549095154,155.5198001186053,38.60395424763362,43.399076489607495,33.52184189160665,0.017116447289784748,340.7038840095202
Mean,5482.9,833.9,1357.7,2112.8,479.8,1633.0,487.1,148.6,1.0345379511515301e-05,32.43384094874064,69.03227315425873,17.58604804555575,31.619193563461305,18.39733072042465,0.007842462062835693,169.0765392398834
STD,5482.9,833.9,1357.7,2112.8,479.8,1633.0,487.1,148.6,1.0345379511515301e-05,32.43384094874064,69.03227315425873,17.58604804555575,31.619193563461305,18.39733072042465,0.007842462062835693,169.0765392398834
