titles,tokens,entities,mentions,relations_total,relations_normal,relations_typing,isolated_entities,isolated_entities_typing,stage_0,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,total_runtime,cost
Title: X96-1059 (by g),214,35,50,44,33,11,7,4,1.0649363199869792e-06,1.6935617605845132,1.6183939854303995,0.5111862023671468,0.18386978308359783,3.546277344226837,0.000624001,7.553914141654968,
Title: ICCV_2001_47_abs (by g),145,29,33,30,23,7,6,3,1.0689099629720052e-06,1.3770973046620687,1.348308531443278,0.45883851846059165,0.12134289344151815,2.9619903484980266,0.00018448,6.267763145764669,
Title: INTERSPEECH_2013_21_abs (by g),119,35,38,27,15,12,17,9,1.7364819844563802e-06,1.5182600299517313,1.446606993675232,0.47161593039830524,0.28195422093073524,2.661186122894287,0.000579266,6.380204300085704,
Title: H01-1049 (by g),131,37,42,54,21,33,14,2,1.1801719665527344e-06,1.3413753469785055,1.7119176427523295,0.4377811193466187,0.18661649227142335,2.679245825608571,0.000225914,6.357163520654042,
Title: C96-1062 (by g),109,25,31,18,11,7,13,9,1.0967254638671874e-06,0.9896202206611633,1.1915570298830669,0.385816765,0.101075546,2.0698128819465635,0.000191363,4.738074903,
Title: CVPR_2009_18_abs (by g),126,37,42,40,28,12,13,8,1.3987223307291666e-06,1.2476816852887471,1.6518088380495708,0.41162673234939573,0.18241554498672485,3.336333183,0.000199115,6.830066498120626,
Title: P85-1019 (by g),119,22,32,17,13,4,9,5,1.152356465657552e-06,1.1394325137138366,1.2126696944236754,0.30988048315048217,0.088543514,1.7371186137199401,0.000143699,4.487789670626323,
Title: P05-1039 (by g),67,19,22,16,12,4,5,3,1.0371208190917968e-06,0.735055395,0.8544272979100546,0.2949366648991903,0.052874144,1.4278481324513754,0.000107201,3.3652498722076416,
Title: P06-2012 (by g),76,23,25,17,12,5,9,7,1.0331471761067708e-06,1.005524222056071,1.113287051518758,0.3457135518391927,0.097158166,1.9382121801376342,0.000126966,4.500023170312246,
Title: P06-1018 (by g),73,28,28,27,11,16,16,11,9.814898173014322e-07,0.9745575706164042,1.2514230529467265,0.3630117336908976,0.093755484,1.6500663797060648,0.000170736,4.332985937595367,
Title: NIPS_2001_11_abs (by g),107,29,32,21,15,6,10,4,1.0848045349121093e-06,1.3586169004440307,1.417274534702301,0.3006574630737305,0.1791503111521403,2.7570403178532916,0.000152353,6.012892965475718,
Title: CVPR_1999_15_abs (by g),111,28,33,29,16,13,10,2,9.973843892415365e-07,1.0521042188008627,1.3280616958936056,0.26528474887212117,0.10929710070292155,1.8425872882207235,0.000184504,4.597520554065705,
Title: C94-1091 (by g),172,36,47,35,20,15,15,7,1.1006991068522134e-06,1.3799705306688945,1.6692422389984132,0.2839310129483541,0.16852318048477172,2.729461598396301,0.000228449,6.231358110904694,
Title: ICCV_2003_161_abs (by g),154,36,46,44,23,21,14,2,1.049041748046875e-06,1.285924235979716,1.484673547744751,0.4721125801404317,0.20740480025609334,3.0471123774846394,0.000202517,6.497431107362112,
Title: CVPR_2009_10_abs (by g),194,51,62,73,41,32,16,2,1.1881192525227865e-06,1.7623667597770691,2.3517996390660603,0.8309072176615397,0.43618093331654867,3.7749016205469768,0.000290334,9.156447692712147,
Title: N03-1026 (by g),125,32,38,31,25,6,7,3,1.1006991068522134e-06,1.2135013302167257,1.4401717980702717,0.4619035482406616,0.17371909618377684,2.752009884516398,0.000183519,6.041490276654561,
Title: ICML_2016_11_abs (by g),222,34,50,52,35,17,6,5,1.2516975402832031e-06,1.3856921831766764,1.6286927938461304,0.5389870802561442,0.19083238045374554,3.609510612487793,0.000242702,7.3539590040842695,
Title: C88-1044 (by g),71,23,24,27,11,16,8,1,1.0967254638671874e-06,0.6462562044461568,0.9373584707578023,0.28965875307718914,0.092012004,1.9715125878651938,0.000126068,3.9369251847267153,
Title: INTERSPEECH_2008_20_abs (by g),160,42,54,58,25,33,16,3,1.0649363199869792e-06,1.3770163973172507,2.0038928588231406,0.46767576138178507,0.2930019736289978,2.9572267214457195,0.000229394,7.099044171969096,
Title: ICASSP_2016_11_abs (by g),136,33,41,39,21,18,11,4,1.1165936787923178e-06,1.2404725154240925,1.681402846177419,0.38661038080851234,0.16768619219462078,2.493040355,0.00020022,5.969413626,
Title: N06-1037 (by g),105,22,33,32,18,14,6,2,1.0848045349121093e-06,0.9168543855349223,1.2041821320851644,0.36277989149093626,0.084458752,2.2332198580106097,0.000141283,4.8016373872756954,
Title: P05-2013 (by g),69,16,19,8,3,5,10,9,9.854634602864584e-07,0.6793117801348368,0.7068689823150635,0.22386258045832316,0.050672797362009685,1.097840150197347,9.266138076782226e-05,2.7586499373118083,
Title: C04-1128 (by g),106,24,27,27,14,13,6,1,1.2834866841634116e-06,0.7688336928685506,1.1531534473101297,0.37057331403096516,0.10377758344014486,2.4489770968755087,0.000139753,4.845456171035766,
Title: CVPR_2006_10_abs (by g),165,31,39,30,19,11,12,7,1.1642773946126303e-06,1.3299020171165465,1.4276244997978211,0.39295279582341514,0.15974044402440388,2.2712556680043536,0.000173819,5.581650408109029,
Title: NIPS_2002_11_abs (by g),118,23,26,36,10,26,11,5,1.2675921122233072e-06,1.0274165193239848,1.1761497815450033,0.4193983515103658,0.086269498,1.666490085919698,0.000126747,4.375852251052857,
Title: P06-3007 (by g),63,14,15,20,14,6,1,0,9.854634602864584e-07,0.9683525244394938,0.5487768610318502,0.23374406894048055,0.046071494,1.6404513756434123,9.785095850626628e-05,3.437495160102844,
Title: ICCV_2013_25_abs (by g),107,21,25,21,17,4,6,6,1.1642773946126303e-06,1.2731958707173665,1.099903686841329,0.3695905844370524,0.088343704,2.1182765483856203,0.000145082,4.949456640084585,
Title: P05-1076 (by g),125,32,43,40,22,18,9,2,1.0013580322265625e-06,1.3032106479008994,1.6817332228024802,0.3742674986521403,0.1548156976699829,2.8567895253499347,0.000208863,6.371026456356049,
Title: C04-1103 (by g),111,24,27,41,18,23,6,1,1.2000401814778646e-06,1.3108720183372498,1.1814060807228088,0.449684997,0.095079851,2.247885803381602,0.000152802,5.285082753499349,
Title: NIPS_2002_18_abs (by g),110,26,27,22,15,7,10,6,1.4503796895345051e-06,1.176998233795166,1.3005440990130106,0.35644388596216836,0.10753493309020996,2.4278931180636087,0.000145264,5.369560984770457,
Title: C86-1081 (by g),88,18,21,15,7,8,9,2,9.973843892415365e-07,0.6980823715527852,0.8010289112726847,0.3804209550221761,0.054078194,1.6463422020276388,0.000100116,3.580053746700287,
Title: P03-1070 (by g),101,21,21,27,15,12,4,1,1.0649363199869792e-06,0.9969667315483093,0.8308776378631592,0.2703545331954956,0.090493385,1.9905238389968871,0.000145018,4.17936221,
Title: P05-1056 (by g),174,34,42,46,27,19,7,3,1.0848045349121093e-06,1.4991295218467713,1.432457975546519,0.4235296010971069,0.1668172319730123,2.920196270942688,0.000196449,6.442328135172526,
Title: CVPR_2011_11_abs (by g),165,32,37,31,24,7,11,7,1.2516975402832031e-06,1.4091855525970458,1.4757078170776368,1.2951628645261128,0.207598873,2.7706252853075664,0.000181762,7.158463406562805,
Title: ICML_2016_10_abs (by g),143,36,44,45,34,11,9,4,1.418590545654297e-06,1.5074377139409383,1.699074431260427,0.889475151,0.1545376976331075,3.1297533909479776,0.000238319,7.380518122514089,
Title: C04-1011 (by g),74,11,15,13,11,2,2,0,1.1285146077473958e-06,0.8516119162241618,0.6214815894762675,0.28432393868764244,0.04418232,1.1253615975379945,8.076826731363932e-05,2.9270432591438293,
Title: ECCV_2006_13_abs (by g),238,59,67,72,43,29,26,9,1.0371208190917968e-06,1.6708114902178446,2.711729021867116,0.7624826153119405,0.5706727186838786,4.495663022994995,0.000298349,10.211658255259197,
Title: N04-1022 (by g),102,26,29,29,19,10,6,2,1.0331471761067708e-06,1.4218797167142232,1.121700898806254,0.3232753276824951,0.097688282,2.6311750531196596,0.000158083,5.595878394444783,
Title: E89-1016 (by g),158,37,43,58,26,32,7,2,1.0848045349121093e-06,1.518609627087911,1.5456530412038167,0.3719442327817281,0.17352692286173502,2.8884361386299133,0.000209351,6.498380398750305,
Title: E06-1022 (by g),88,21,26,28,21,7,3,0,1.1682510375976563e-06,0.8807587186495464,1.1552005171775819,0.43739047447840373,0.080302918,2.136999003092448,0.000148932,4.690801731745402,
Title: I05-5004 (by g),70,14,15,16,12,4,4,3,1.0848045349121093e-06,0.6353886365890503,0.8652916669845581,0.19874486525853474,0.046685763,1.5582982977231343,8.974870045979818e-05,3.3045000632603965,
Title: H01-1042 (by g),236,46,64,74,35,39,12,3,1.3470649719238282e-06,1.858281381924947,2.191852362950643,0.6522669156392416,0.3635895649592082,4.010400581359863,0.000270263,9.076662417252859,
Title: C04-1035 (by g),128,28,32,35,18,17,6,1,6.381670633951823e-06,1.0885756333669028,1.392859939734141,0.4648756146430969,0.0881657,2.557550589243571,0.000180562,5.5922144214312235,
Title: C04-1036 (by g),102,25,31,32,12,20,11,4,5.14984130859375e-06,0.8344822804133097,1.2095914562543233,0.3227025032043457,0.08698343,2.174707241853078,0.000153112,4.628625174363454,
Title: CVPR_2011_10_abs (by g),117,28,36,34,18,16,8,2,4.633267720540365e-06,1.169988505045573,1.3931800325711567,0.47734595139821373,0.088468051,2.5868208130200703,0.000187969,5.715995955467224,
Title: ECCV_2012_30_abs (by g),129,30,33,27,19,8,9,4,4.633267720540365e-06,1.2207289377848307,1.3266954223314922,0.3852872490882874,0.15880160729090373,2.864984901746114,0.000160567,5.956663318475088,
Title: P08-1105 (by g),119,23,31,24,15,9,6,2,4.522005716959635e-06,0.9402119199434916,1.213665235042572,0.3427966038386027,0.082860251,1.958429213364919,0.000162462,4.538130207856496,
Title: ICML_2006_119_abs (by g),178,41,50,52,21,31,16,4,5.1816304524739586e-06,1.3855244239171347,1.8627557158470154,0.5798906524976094,0.2893941362698873,3.806145711739858,0.000234385,7.923950207233429,
Title: P04-2005 (by g),128,30,36,35,18,17,14,7,4.434585571289063e-06,1.1886322021484375,1.2881490508715312,0.4490204413731893,0.17201091845830283,2.487948485215505,0.000166198,5.585931730270386,
Title: NIPS_2016_560_abs (by g),178,35,49,34,24,10,10,5,4.553794860839844e-06,1.6379588842391968,1.977087954680125,0.6091459115346273,0.1921368678410848,2.7247406005859376,0.000250272,7.141325044631958,
Title: P06-1053 (by g),79,26,29,22,14,8,8,5,4.597504933675131e-06,0.876009734,1.2504616181055705,0.3265981952349345,0.088196719,1.9325971643129984,0.000138664,4.474006692568461,
Title: CVPR_2016_413_abs (by g),167,34,39,39,28,11,8,5,4.800160725911458e-06,1.1903146862983705,1.5239132205645243,0.4558211207389832,0.1740997632344564,3.2702320496241253,0.000235105,6.614620745182037,
Title: ICML_1995_38_abs (by g),129,31,36,37,19,18,12,4,5.849202473958334e-06,1.0510454853375752,1.2979107260704041,0.3247030735015869,0.19912881056467693,2.3564170082410176,0.000201333,5.229412285486857,
Title: P06-4007 (by g),68,15,19,14,7,7,5,2,4.732608795166016e-06,0.7048420071601867,0.750753911,0.24085910320281984,0.059982173,1.3141478657722474,9.408394495646159e-05,3.0706838766733804,
Title: E99-1015 (by g),78,18,25,18,9,9,8,2,8.630752563476563e-06,0.9215047121047973,0.8373270750045776,0.20132931073506674,0.055091794,1.4250126163164774,0.000122619,3.440396757920583,
Title: CVPR_2004_18_abs (by g),95,24,27,21,9,12,10,4,4.99884287516276e-06,1.0957092960675558,1.0366138219833374,0.22061773538589477,0.0893031,2.1812512636184693,0.000148964,4.623649179935455,
Title: J86-4002 (by g),187,47,64,61,36,25,13,7,4.680951436360677e-06,1.8327457149823507,2.213982089360555,0.5838633298873901,0.30000729163487755,3.558171614011129,0.000292663,8.489067383607228,
Title: P06-1013 (by g),77,20,24,14,10,4,8,7,4.867712656656901e-06,0.9418403148651123,0.8232703765233358,0.24702115058898927,0.093275936,1.5612547993659973,0.000128833,3.6667962789535524,
Title: P05-1046 (by g),152,33,37,33,18,15,13,5,4.78823979695638e-06,1.0621351242065429,1.3565877079963684,0.3487273891766866,0.17463828722635905,2.648488903045654,0.000219131,5.59080133,
Title: J82-3002 (by g),109,26,35,35,16,19,8,4,3.1312306722005207e-06,1.1919191201527914,1.079774224758148,0.28518741130828856,0.098714538,2.431934718290965,0.000184353,5.087717497348786,
Title: ECCV_2016_99_abs (by g),211,44,58,50,30,20,18,7,5.118052164713541e-06,1.548696255683899,2.532009824117025,0.5193107525507609,0.30183717,3.8662645260492963,0.000242484,8.768366130193074,
Title: I05-5003 (by g),125,32,41,47,18,29,12,3,5.030632019042969e-06,1.4598969062169393,1.4885329922040305,0.3759448329607646,0.1705045183499654,2.0329364498456317,0.000184349,5.528005079428355,
Title: CVPR_2008_256_abs (by g),224,45,59,31,26,5,14,12,4.939238230387369e-06,1.7234400629997253,2.299877238273621,0.616729716,0.2876018842061361,3.415904990832011,0.000259447,8.343818279107412,
