titles,tokens,entities,mentions,relations_total,relations_normal,relations_typing,isolated_entities,isolated_entities_typing,stage_0,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,total_runtime
Title: X96-1059 (by l),214.0,36.0,40.0,13.0,11.0,2.0,22.0,19.0,2.165635426839193e-06,1.2743723034858703,1.642165978749593,0.7721856991449992,0.4299467921257019,0.9994379083315531,0.0006801168123881022,5.118790964285533
Title: ICCV_2001_47_abs (by l),145.0,37.0,37.0,20.0,9.0,11.0,23.0,15.0,4.911422729492188e-06,1.193887193997701,1.7537393967310588,0.5388943314552307,0.37214776277542116,1.0542956511179606,0.0002217570940653483,4.913191004594167
Title: INTERSPEECH_2013_21_abs (by l),119.0,37.0,39.0,17.0,9.0,8.0,25.0,16.0,3.596146901448568e-06,1.1648425380388896,1.5698281327883403,0.6235689640045166,0.3349499424298604,1.2351908047993978,0.00021978219350179037,4.9286037604014075
Title: H01-1049 (by l),131.0,36.0,39.0,32.0,14.0,18.0,18.0,8.0,3.7709871927897135e-06,1.053643242518107,1.4959072828292848,0.6282683372497558,0.3584852417310079,1.159180188179016,0.00021906296412150066,4.695707126458486
Title: C96-1062 (by l),109.0,26.0,27.0,15.0,8.0,7.0,15.0,8.0,4.069010416666667e-06,0.8709657470385234,1.1156223694483438,0.4807004769643148,0.18797940810521443,0.8890650709470113,0.00015786488850911458,3.5444950064023337
Title: CVPR_2009_18_abs (by l),126.0,39.0,41.0,19.0,9.0,10.0,28.0,21.0,3.4888585408528645e-06,1.0628723581631978,1.6337217013041179,0.5011614958445231,0.3426845749219259,1.119407296180725,0.00022165377934773762,4.660072569052378
Title: P85-1019 (by l),119.0,29.0,31.0,11.0,10.0,1.0,15.0,14.0,3.4133593241373697e-06,0.9507214824358622,1.3189324418703714,0.48387244939804075,0.2048828681310018,0.7232771396636963,0.00017087856928507488,3.6818606734275816
Title: P05-1039 (by l),67.0,19.0,21.0,10.0,6.0,4.0,11.0,9.0,3.4729639689127604e-06,0.5312548557917277,0.8874246954917908,0.2851670543352763,0.10681769450505575,0.6133646090825399,0.00011874039967854818,2.424151122570038
Title: P06-2012 (by l),76.0,30.0,33.0,12.0,11.0,1.0,19.0,17.0,3.345807393391927e-06,0.7615938425064087,1.3182948311169942,0.4894308845202128,0.36122201283772787,0.71205020348231,0.00017511844635009766,3.642770238717397
Title: P06-1018 (by l),73.0,25.0,26.0,24.0,12.0,12.0,13.0,12.0,4.331270853678386e-06,0.8296435395876567,1.040663488705953,0.34497572580973307,0.19624611934026082,0.9842238982518514,0.00016207695007324218,3.395919179916382
Title: NIPS_2001_11_abs (by l),107.0,30.0,32.0,18.0,11.0,7.0,16.0,12.0,3.429253896077474e-06,1.10214608112971,1.521273950735728,0.46328051487604777,0.35994589726130166,1.2371686339378356,0.00019769668579101564,4.68401620388031
Title: CVPR_1999_15_abs (by l),111.0,26.0,27.0,17.0,8.0,9.0,13.0,6.0,3.7471453348795573e-06,0.9413337906201681,1.2524667978286743,0.5102977116902669,0.19938369592030844,0.9060726245244344,0.0001716295878092448,3.8097299973169965
Title: C94-1091 (by l),172.0,37.0,40.0,25.0,10.0,15.0,22.0,12.0,3.743171691894531e-06,1.1633909225463868,1.6819907983144124,0.9754938125610352,0.34518563747406006,1.1035997907320658,0.00021353960037231445,5.269878244400024
Title: ICCV_2003_161_abs (by l),154.0,48.0,57.0,37.0,16.0,21.0,26.0,8.0,3.4888585408528645e-06,1.339202348391215,2.1784604231516522,1.0386654178301493,0.6393274943033854,1.7349655707677205,0.00029845635096232095,6.930923199653625
Title: CVPR_2009_10_abs (by l),194.0,57.0,62.0,48.0,21.0,27.0,37.0,17.0,3.727277119954427e-06,1.5081164360046386,2.8221158583958945,0.973262349764506,1.0104451576868694,1.6466541846593221,0.00032762289047241213,7.960925336678823
Title: N03-1026 (by l),125.0,37.0,39.0,24.0,11.0,13.0,21.0,11.0,3.4689903259277345e-06,1.0675959269205728,1.6573321978251139,0.5969939788182577,0.38440134525299074,1.264008931318919,0.00022073586781819662,4.970556584993998
Title: ICML_2016_11_abs (by l),222.0,50.0,58.0,37.0,25.0,12.0,25.0,14.0,3.524621327718099e-06,1.3373176256815593,2.6755247791608174,0.7116570591926574,1.07074480454127,1.5929975509643555,0.000294339656829834,7.388539683818817
Title: C88-1044 (by l),71.0,20.0,21.0,12.0,5.0,7.0,12.0,7.0,3.862380981445312e-06,0.7182167967160543,0.9325568834940593,0.31537158886591593,0.17510878245035807,0.8889691670735677,0.00013024012247721354,3.030357321103414
Title: INTERSPEECH_2008_20_abs (by l),160.0,37.0,42.0,39.0,9.0,30.0,24.0,4.0,3.4650166829427083e-06,1.1753913680712382,1.658730153242747,0.5943012396494548,0.32652696371078493,1.009680942694346,0.00021857023239135742,4.764852702617645
Title: ICASSP_2016_11_abs (by l),136.0,31.0,37.0,21.0,9.0,12.0,17.0,9.0,3.806749979654948e-06,1.0263943036397298,1.5270292043685914,0.6613398392995199,0.3261226415634155,1.011931828657786,0.00020238558451334636,4.5530240098635355
Title: N06-1037 (by l),105.0,24.0,33.0,15.0,6.0,9.0,16.0,12.0,3.7709871927897135e-06,0.8538876851399739,1.3024240771929423,0.5603614290555318,0.18195184469223022,0.8963462034861247,0.0001674056053161621,3.795142416159312
Title: P05-2013 (by l),69.0,19.0,22.0,13.0,5.0,8.0,10.0,1.0,3.8941701253255206e-06,0.6550014058748881,0.8562664190928141,0.35023635625839233,0.10762825012207031,0.6172736167907715,0.00012111663818359375,2.586531058947245
Title: C04-1128 (by l),106.0,20.0,22.0,9.0,4.0,5.0,14.0,8.0,3.7590662638346356e-06,0.6998462518056233,0.8157124876976013,0.4631660660107931,0.1799465537071228,0.7747941652933756,0.00012860695521036783,2.9335978905359905
Title: CVPR_2006_10_abs (by l),165.0,26.0,31.0,13.0,9.0,4.0,12.0,9.0,3.3775965372721353e-06,0.9940790454546611,1.1376164515813192,0.6956990599632263,0.17534610827763875,0.8811249613761902,0.00016696850458780926,3.8840359727541607
Title: NIPS_2002_11_abs (by l),118.0,26.0,26.0,15.0,5.0,10.0,19.0,14.0,3.723303476969401e-06,0.8236246903737386,1.1033806602160137,0.3868981122970581,0.17767837444941204,0.7803265611330669,0.00015024741490681965,3.272062369187673
Title: P06-3007 (by l),63.0,21.0,22.0,12.0,8.0,4.0,9.0,7.0,3.437201182047526e-06,0.8185085972150167,0.8854993502298991,0.407379674911499,0.19677571455637613,0.7478878657023112,0.00013511975606282552,3.056189759572347
Title: ICCV_2013_25_abs (by l),107.0,29.0,31.0,14.0,8.0,6.0,16.0,14.0,3.441174825032552e-06,1.0283982634544373,1.346265729268392,0.5458521405855815,0.17847532828648885,0.9553739666938782,0.00018306175867716473,4.05455193122228
Title: P05-1076 (by l),125.0,36.0,39.0,22.0,9.0,13.0,22.0,12.0,3.723303476969401e-06,1.0898167173067728,1.8279550353686014,0.5562513828277588,0.3878928581873576,1.2765101552009583,0.00023450454076131186,5.138664376735687
Title: C04-1103 (by l),111.0,26.0,31.0,14.0,7.0,7.0,17.0,12.0,4.700819651285807e-06,0.9722584128379822,1.391556739807129,0.5537802934646606,0.20891815821329754,0.8114739934603373,0.00018109480539957684,3.9381733934084573
Title: NIPS_2002_18_abs (by l),110.0,34.0,36.0,15.0,6.0,9.0,25.0,16.0,6.139278411865234e-05,0.9357603033383687,1.4902018586794534,0.46419479449590045,0.37399621804555255,1.131091578801473,0.00020890235900878907,4.395515048503876
Title: C86-1081 (by l),88.0,14.0,16.0,10.0,4.0,6.0,8.0,2.0,3.719329833984375e-06,0.6099426587422688,0.578040091196696,0.3806989232699076,0.1066335916519165,0.5956551829973856,9.90748405456543e-05,2.2710732420285544
Title: P03-1070 (by l),101.0,26.0,28.0,7.0,6.0,1.0,16.0,15.0,2.3424625396728516e-05,0.8939175923665365,1.161039447784424,0.3854040543238322,0.1743040164311727,0.9492116014162699,0.00021485090255737304,3.564114987850189
Title: P05-1056 (by l),174.0,40.0,42.0,28.0,13.0,15.0,26.0,17.0,4.605452219645182e-06,1.1285664041837056,1.7370020747184753,0.6484065572420756,0.6353612025578816,1.2737226088841755,0.00023399194081624348,5.42329744497935
Title: CVPR_2011_11_abs (by l),165.0,32.0,40.0,14.0,9.0,5.0,21.0,17.0,3.4809112548828124e-06,1.0874798854192098,1.745015597343445,0.6246289412180582,0.38315537373224895,0.9712531288464864,0.00020331144332885742,4.811739718914032
Title: ICML_2016_10_abs (by l),143.0,40.0,46.0,27.0,15.0,12.0,22.0,14.0,3.4729639689127604e-06,1.319298521677653,1.9827507932980855,0.863828706741333,0.6792247136433919,1.2728787183761596,0.00024079481760660808,6.118225721518199
Title: C04-1011 (by l),74.0,12.0,19.0,7.0,6.0,1.0,6.0,5.0,3.4133593241373697e-06,0.7315938711166382,0.7329917828241984,0.381131378809611,0.1055596391359965,0.5683228333791097,0.00010819832483927409,2.519711116949717
Title: ECCV_2006_13_abs (by l),238.0,37.0,39.0,14.0,6.0,8.0,30.0,20.0,3.846486409505208e-06,1.131386935710907,1.8602850834528606,0.6363115708033243,0.3588276704152425,1.1971331397692362,0.00021658738454182941,5.184164834022522
Title: N04-1022 (by l),102.0,31.0,33.0,15.0,10.0,5.0,18.0,13.0,3.508726755777995e-06,0.9955027262369792,1.4056445479393005,0.5283381223678589,0.39869831800460814,1.1442201693852743,0.00019162098566691081,4.472599013646444
Title: E89-1016 (by l),158.0,48.0,51.0,36.0,12.0,24.0,35.0,16.0,3.4610430399576825e-06,1.195071808497111,2.1285784602165223,0.6880412737528483,0.6905739545822144,1.34278461933136,0.0002783457438151042,6.045331923166911
Title: E06-1022 (by l),88.0,32.0,35.0,12.0,7.0,5.0,23.0,20.0,3.4729639689127604e-06,0.8869915008544922,1.3955402692159018,0.440002711613973,0.37041566769282025,0.991141672929128,0.00018471479415893555,4.084280010064443
Title: I05-5004 (by l),70.0,19.0,21.0,5.0,4.0,1.0,12.0,11.0,3.421306610107422e-06,0.6666576504707337,0.8866085330645244,0.2784005959828695,0.11152308384577433,0.5995184739430746,0.00012069145838419596,2.5428324500719706
Title: H01-1042 (by l),236.0,53.0,63.0,56.0,23.0,33.0,27.0,9.0,4.23590342203776e-06,1.64168328444163,2.6301696340243024,0.8758896629015605,1.113993191719055,1.8193730155626933,0.0003319263458251953,8.081444950898488
Title: C04-1035 (by l),128.0,32.0,34.0,15.0,8.0,7.0,20.0,10.0,3.508726755777995e-06,0.9350251078605651,1.366879932085673,0.6375416954358418,0.36538461049397786,1.10315447251002,0.000182644526163737,4.408171971638997
Title: C04-1036 (by l),102.0,26.0,28.0,17.0,8.0,9.0,14.0,7.0,3.7630399068196614e-06,0.8269565224647522,1.2390498876571656,0.49529080390930175,0.3478376030921936,0.8806655963261922,0.00016223192214965821,3.789966408411662
Title: CVPR_2011_10_abs (by l),117.0,35.0,39.0,33.0,13.0,20.0,17.0,6.0,3.727277119954427e-06,1.0317935506502787,1.4200248956680297,0.7372481067975362,0.3912991523742676,1.2335639079411824,0.0002159436543782552,4.814149284362793
Title: ECCV_2012_30_abs (by l),129.0,31.0,35.0,16.0,11.0,5.0,13.0,10.0,3.4968058268229165e-06,1.0365104794502258,1.461665117740631,0.5075836698214213,0.3642558018366496,1.1345531940460205,0.00020122925440470377,4.50477298895518
Title: P08-1105 (by l),119.0,25.0,32.0,19.0,9.0,10.0,11.0,7.0,3.7590662638346356e-06,0.880638039112091,1.3526631514231364,0.5567415555318197,0.20681798060735065,1.0468139410018922,0.00018103917439778647,4.043859465916952
Title: ICML_2006_119_abs (by l),178.0,42.0,47.0,25.0,13.0,12.0,28.0,17.0,3.7670135498046877e-06,1.1242882092793782,1.9452694098154704,0.6322659095128377,0.6890682260195414,1.3973777055740357,0.0002506573994954427,5.788523884614309
Title: P04-2005 (by l),128.0,32.0,39.0,33.0,11.0,22.0,16.0,6.0,3.437201182047526e-06,0.996417756875356,1.5868714888890585,0.6075837969779968,0.4198939720789591,1.2606579343477884,0.00021121899286905924,4.87163960536321
Title: NIPS_2016_560_abs (by l),178.0,40.0,48.0,28.0,16.0,12.0,24.0,15.0,3.612041473388672e-06,1.2414568583170573,2.2377617081006367,0.6101933280626933,0.6510637561480205,1.2438384612401328,0.00024784406026204426,5.984565567970276
Title: P06-1053 (by l),79.0,24.0,25.0,15.0,9.0,6.0,11.0,7.0,3.516674041748047e-06,0.8279412746429443,1.0072743535041808,0.41614270210266113,0.175930392742157,0.879919457435608,0.00015087127685546874,3.3073625683784487
Title: CVPR_2016_413_abs (by l),167.0,37.0,39.0,19.0,13.0,6.0,19.0,16.0,3.6954879760742188e-06,1.0575802087783814,1.7296355446179708,0.5668301105499267,0.3677144686381022,1.0472825487454733,0.00021085341771443685,4.769257430235545
Title: ICML_1995_38_abs (by l),129.0,29.0,32.0,19.0,10.0,9.0,13.0,8.0,3.981590270996094e-06,1.0030540029207866,1.3877229690551758,0.6473485946655273,0.19251975615819295,1.1622735579808554,0.0001792311668395996,4.393102093537649
Title: P06-4007 (by l),68.0,6.0,7.0,3.0,2.0,1.0,4.0,3.0,3.3934911092122394e-06,0.5132474740346272,0.2619580229123433,0.23212455908457438,0.10171770652135213,0.2923023223876953,5.0969918568929036e-05,1.4014044483502706
Title: E99-1015 (by l),78.0,16.0,18.0,11.0,2.0,9.0,12.0,3.0,1.4789899190266927e-05,0.6740821798642477,0.6928755680720011,0.38719773292541504,0.10778761704762777,0.6129414161046346,0.00010885397593180338,2.4750081578890484
Title: CVPR_2004_18_abs (by l),95.0,27.0,29.0,23.0,6.0,17.0,18.0,9.0,7.866223653157552e-05,0.8432797153790792,1.2114502628644308,0.48335789839426674,0.19605014324188233,1.0220808903376262,0.00016158024470011394,3.756459152698517
Title: J86-4002 (by l),187.0,55.0,60.0,42.0,20.0,22.0,41.0,21.0,3.524621327718099e-06,1.4274862130482993,2.6887319326400756,0.6442484378814697,0.9821293115615845,1.6529900670051574,0.00032564798990885414,7.395915134747823
Title: P06-1013 (by l),77.0,26.0,28.0,8.0,6.0,2.0,17.0,15.0,3.886222839355469e-06,0.9753007253011068,1.104580569267273,0.4790343403816223,0.19322989781697592,0.843689751625061,0.00016332467397054036,3.596002495288849
Title: P05-1046 (by l),152.0,31.0,31.0,14.0,9.0,5.0,19.0,15.0,3.437201182047526e-06,1.0431044181187947,1.4018505811691284,0.5873405496279399,0.393193793296814,0.9753783782323201,0.0001879135767618815,4.401059071222941
Title: J82-3002 (by l),109.0,20.0,25.0,17.0,12.0,5.0,7.0,4.0,3.8027763366699217e-06,0.9921175797780355,0.9537451267242432,0.45995267629623415,0.18339288632074993,0.9443485617637635,0.00015527804692586262,3.5337159117062886
Title: ECCV_2016_99_abs (by l),211.0,41.0,46.0,26.0,12.0,14.0,29.0,13.0,3.7630399068196614e-06,1.3885191639264425,2.0624327937761944,1.1111566503842671,0.644833234945933,1.208379085858663,0.00024004777272542319,6.415564739704132
Title: I05-5003 (by l),125.0,33.0,35.0,20.0,9.0,11.0,19.0,12.0,3.5127003987630206e-06,1.041391416390737,1.4916804075241088,0.4907463550567627,0.38499476114908854,0.9301701068878174,0.0001989881197611491,4.3391855478286745
Title: CVPR_2008_256_abs (by l),224.0,54.0,59.0,38.0,20.0,18.0,34.0,20.0,3.4610430399576825e-06,1.4813767790794372,2.9261310338974,0.6926899433135987,1.1807116945584615,1.6859687964121501,0.00044797261555989585,7.967329680919647
Title: P01-1056 (by l),112.0,20.0,23.0,6.0,5.0,1.0,13.0,13.0,3.921985626220703e-06,0.8966393073399862,0.939888346195221,0.43678452968597414,0.18115219275156658,0.4626235802968343,0.00013195276260375978,2.9172238310178122
