titles,tokens,entities,mentions,relations_total,relations_normal,relations_typing,isolated_entities,isolated_entities_typing,stage_0,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,total_runtime
Title: X96-1059 (by g),214.0,35.0,50.0,44.0,33.0,11.0,7.0,4.0,1.0649363199869792e-06,1.6935617605845132,1.6183939854303995,0.5111862023671468,0.18386978308359783,3.546277344226837,0.0006240010261535645,7.553914141654968
Title: ICCV_2001_47_abs (by g),145.0,29.0,33.0,30.0,23.0,7.0,6.0,3.0,1.0689099629720052e-06,1.3770973046620687,1.348308531443278,0.45883851846059165,0.12134289344151815,2.9619903484980266,0.000184480349222819,6.267763145764669
Title: INTERSPEECH_2013_21_abs (by g),119.0,35.0,38.0,27.0,15.0,12.0,17.0,9.0,1.7364819844563802e-06,1.5182600299517313,1.446606993675232,0.47161593039830524,0.28195422093073524,2.661186122894287,0.0005792657534281413,6.380204300085704
Title: H01-1049 (by g),131.0,37.0,42.0,54.0,21.0,33.0,14.0,2.0,1.1801719665527344e-06,1.3413753469785055,1.7119176427523295,0.4377811193466187,0.18661649227142335,2.679245825608571,0.00022591352462768554,6.357163520654042
Title: C96-1062 (by g),109.0,25.0,31.0,18.0,11.0,7.0,13.0,9.0,1.0967254638671874e-06,0.9896202206611633,1.1915570298830669,0.385816764831543,0.101075545946757,2.0698128819465635,0.0001913626988728841,4.73807490269343
Title: CVPR_2009_18_abs (by g),126.0,37.0,42.0,40.0,28.0,12.0,13.0,8.0,1.3987223307291666e-06,1.2476816852887471,1.6518088380495708,0.41162673234939573,0.18241554498672485,3.33633318344752,0.00019911527633666992,6.830066498120626
Title: P85-1019 (by g),119.0,22.0,32.0,17.0,13.0,4.0,9.0,5.0,1.152356465657552e-06,1.1394325137138366,1.2126696944236754,0.30988048315048217,0.08854351441065471,1.7371186137199401,0.00014369885126749675,4.487789670626323
Title: P05-1039 (by g),67.0,19.0,22.0,16.0,12.0,4.0,5.0,3.0,1.0371208190917968e-06,0.735055394967397,0.8544272979100546,0.2949366648991903,0.05287414391835531,1.4278481324513754,0.00010720094045003255,3.3652498722076416
Title: P06-2012 (by g),76.0,23.0,25.0,17.0,12.0,5.0,9.0,7.0,1.0331471761067708e-06,1.005524222056071,1.113287051518758,0.3457135518391927,0.09715816577275595,1.9382121801376342,0.00012696584065755208,4.500023170312246
Title: P06-1018 (by g),73.0,28.0,28.0,27.0,11.0,16.0,16.0,11.0,9.814898173014322e-07,0.9745575706164042,1.2514230529467265,0.3630117336908976,0.09375548362731934,1.6500663797060648,0.00017073551813761393,4.332985937595367
Title: NIPS_2001_11_abs (by g),107.0,29.0,32.0,21.0,15.0,6.0,10.0,4.0,1.0848045349121093e-06,1.3586169004440307,1.417274534702301,0.3006574630737305,0.1791503111521403,2.7570403178532916,0.00015235344568888346,6.012892965475718
Title: CVPR_1999_15_abs (by g),111.0,28.0,33.0,29.0,16.0,13.0,10.0,2.0,9.973843892415365e-07,1.0521042188008627,1.3280616958936056,0.26528474887212117,0.10929710070292155,1.8425872882207235,0.00018450419108072917,4.597520554065705
Title: C94-1091 (by g),172.0,36.0,47.0,35.0,20.0,15.0,15.0,7.0,1.1006991068522134e-06,1.3799705306688945,1.6692422389984132,0.2839310129483541,0.16852318048477172,2.729461598396301,0.00022844870885213215,6.231358110904694
Title: ICCV_2003_161_abs (by g),154.0,36.0,46.0,44.0,23.0,21.0,14.0,2.0,1.049041748046875e-06,1.285924235979716,1.484673547744751,0.4721125801404317,0.20740480025609334,3.0471123774846394,0.0002025167147318522,6.497431107362112
Title: CVPR_2009_10_abs (by g),194.0,51.0,62.0,73.0,41.0,32.0,16.0,2.0,1.1881192525227865e-06,1.7623667597770691,2.3517996390660603,0.8309072176615397,0.43618093331654867,3.7749016205469768,0.00029033422470092773,9.156447692712147
Title: N03-1026 (by g),125.0,32.0,38.0,31.0,25.0,6.0,7.0,3.0,1.1006991068522134e-06,1.2135013302167257,1.4401717980702717,0.4619035482406616,0.17371909618377684,2.752009884516398,0.0001835187276204427,6.041490276654561
Title: ICML_2016_11_abs (by g),222.0,34.0,50.0,52.0,35.0,17.0,6.0,5.0,1.2516975402832031e-06,1.3856921831766764,1.6286927938461304,0.5389870802561442,0.19083238045374554,3.609510612487793,0.00024270216623942058,7.3539590040842695
Title: C88-1044 (by g),71.0,23.0,24.0,27.0,11.0,16.0,8.0,1.0,1.0967254638671874e-06,0.6462562044461568,0.9373584707578023,0.28965875307718914,0.09201200405756632,1.9715125878651938,0.0001260677973429362,3.9369251847267153
Title: INTERSPEECH_2008_20_abs (by g),160.0,42.0,54.0,58.0,25.0,33.0,16.0,3.0,1.0649363199869792e-06,1.3770163973172507,2.0038928588231406,0.46767576138178507,0.2930019736289978,2.9572267214457195,0.00022939443588256835,7.099044171969096
